,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
184,NY,Chemung,36015,2018,13.0,110,34.0,0.3090909090909091,0.0319135878237388,-76.813046,42.118262
185,NY,Chemung,36015,2019,14.0,150,40.0,0.26666666666666666,0.03436847919479563,-76.813046,42.118262
186,NY,Chemung,36015,2020,18.0,166,34.0,0.20481927710843373,0.04418804467902295,-76.813046,42.118262
187,NY,Chenango,36017,2012,0.0,7,1.0,0.14285714285714285,0.0,-75.570326,42.481195
188,NY,Chenango,36017,2013,0.0,10,2.0,0.2,0.0,-75.570326,42.481195
189,NY,Chenango,36017,2014,0.0,20,3.0,0.15,0.0,-75.570326,42.481195
190,NY,Chenango,36017,2015,0.0,28,6.0,0.21428571428571427,0.0,-75.570326,42.481195
191,NY,Chenango,36017,2016,0.0,36,9.0,0.25,0.0,-75.570326,42.481195
192,NY,Chenango,36017,2017,0.0,43,13.0,0.3023255813953488,0.0,-75.570326,42.481195
193,NY,Chenango,36017,2018,0.0,51,16.0,0.3137254901960784,0.0,-75.570326,42.481195
194,NY,Chenango,36017,2019,0.0,61,18.0,0.29508196721311475,0.0,-75.570326,42.481195
195,NY,Chenango,36017,2020,0.0,84,18.0,0.21428571428571427,0.0,-75.570326,42.481195
196,NY,Clinton,36019,2010,0.0,19,0.0,0.0,0.0,-73.545325,44.730039
197,NY,Clinton,36019,2011,2.0,16,1.0,0.0625,0.0019270607505901625,-73.545325,44.730039
198,NY,Clinton,36019,2012,2.0,23,3.0,0.13043478260869565,0.0019270607505901625,-73.545325,44.730039
199,NY,Clinton,36019,2013,2.0,36,6.0,0.16666666666666666,0.0019270607505901625,-73.545325,44.730039
200,NY,Clinton,36019,2014,4.0,49,4.0,0.08163265306122447,0.003854121501180325,-73.545325,44.730039
201,NY,Clinton,36019,2015,4.0,59,7.0,0.11864406779661014,0.003854121501180325,-73.545325,44.730039
202,NY,Clinton,36019,2016,12.0,87,11.0,0.1264367816091954,0.011562364503540977,-73.545325,44.730039
203,NY,Clinton,36019,2017,14.0,115,15.0,0.13043478260869565,0.013489425254131136,-73.545325,44.730039
204,NY,Clinton,36019,2018,18.0,147,22.0,0.14965986394557826,0.017343546755311464,-73.545325,44.730039
205,NY,Clinton,36019,2019,22.0,173,22.0,0.12716763005780346,0.02119766825649179,-73.545325,44.730039
